Pretty Formula,A,B
NiP,Ni1+,P1-
NiP,Ni2+,P2-
NiP,Ni3+,P3-
NiS,Ni1+,S1-
NiS,Ni2+,S2-
NiCl,Ni1+,Cl1-
NiGe,Ni1+,Ge1-
NiGe,Ni2+,Ge2-
NiGe,Ni3+,Ge3-
NiGe,Ni4+,Ge4-
NiAs,Ni3+,As3-
NiSe,Ni2+,Se2-
NiBr,Ni1+,Br1-
NiMo,Ni1+,Mo1-
NiMo,Ni2+,Mo2-
NiRu,Ni2+,Ru2-
NiRh,Ni1+,Rh1-
NiSn,Ni4+,Sn4-
NiSb,Ni3+,Sb3-
NiTe,Ni2+,Te2-
NiI,Ni1+,I1-
NiOs,Ni1+,Os1-
NiOs,Ni2+,Os2-
NiIr,Ni1+,Ir1-
NiIr,Ni3+,Ir3-
NiPt,Ni1+,Pt1-
NiPt,Ni2+,Pt2-
NiAu,Ni1+,Au1-
CuH,Cu1+,H1-
CuC,Cu1+,C1-
CuC,Cu2+,C2-
CuC,Cu3+,C3-
CuC,Cu4+,C4-
CuN,Cu1+,N1-
CuN,Cu2+,N2-
CuN,Cu3+,N3-
CuO,Cu1+,O1-
CuO,Cu2+,O2-
CuF,Cu1+,F1-
CuP,Cu1+,P1-
CuP,Cu2+,P2-
CuP,Cu3+,P3-
CuS,Cu1+,S1-
CuS,Cu2+,S2-
CuCl,Cu1+,Cl1-
CuNi,Cu1+,Ni1-
CuGe,Cu1+,Ge1-
CuGe,Cu2+,Ge2-
CuGe,Cu3+,Ge3-
CuGe,Cu4+,Ge4-
CuAs,Cu3+,As3-
CuSe,Cu2+,Se2-
CuBr,Cu1+,Br1-
CuMo,Cu1+,Mo1-
CuMo,Cu2+,Mo2-
CuRu,Cu2+,Ru2-
CuRh,Cu1+,Rh1-
CuSn,Cu4+,Sn4-
CuSb,Cu3+,Sb3-
CuTe,Cu2+,Te2-
CuI,Cu1+,I1-
CuOs,Cu1+,Os1-
CuOs,Cu2+,Os2-
CuIr,Cu1+,Ir1-
CuIr,Cu3+,Ir3-
CuPt,Cu1+,Pt1-
CuPt,Cu2+,Pt2-
CuAu,Cu1+,Au1-
ZnH,Zn1+,H1-
ZnC,Zn1+,C1-
ZnC,Zn2+,C2-
ZnN,Zn1+,N1-
ZnN,Zn2+,N2-
ZnO,Zn1+,O1-
ZnO,Zn2+,O2-
ZnF,Zn1+,F1-
ZnSi,Zn1+,Si1-
ZnSi,Zn2+,Si2-
ZnP,Zn1+,P1-
ZnP,Zn2+,P2-
ZnS,Zn1+,S1-
ZnS,Zn2+,S2-
ZnCl,Zn1+,Cl1-
ZnCr,Zn1+,Cr1-
ZnCr,Zn2+,Cr2-
ZnFe,Zn1+,Fe1-
ZnFe,Zn2+,Fe2-
ZnCo,Zn1+,Co1-
ZnNi,Zn1+,Ni1-
ZnGe,Zn1+,Ge1-
ZnGe,Zn2+,Ge2-
ZnSe,Zn2+,Se2-
ZnBr,Zn1+,Br1-
ZnMo,Zn1+,Mo1-
ZnMo,Zn2+,Mo2-
ZnRu,Zn2+,Ru2-
